Trial,r_se,r_build,Duration,Finished,Total_NPV,Total_Carbon
0,0.8765891256478568,0.918347902198466,174,True,22393378730644.168,514450054353.91327
1,0.9255520462898472,1.0646314254537261,176,True,22401705379558.273,522237552810.64606
2,1.0268339309573484,0.973928655875499,172,True,22414593910048.3,507651420847.88055
3,0.9078870313179308,0.8866050898851177,173,True,22397346978152.81,509945212975.5679
4,1.0325185144755609,0.9796360750902471,172,True,22415450709864.48,507752778445.2611
5,0.8651663519296242,1.050367245788291,177,True,22393190107247.906,525586009837.77893
6,1.0534096155856396,1.1035348985748443,174,True,22419855258687.133,516471211136.60114
7,0.9434666092213816,1.0609266471914058,175,True,22404127967698.72,520433141549.2232
8,1.1383505189588756,0.8803510109743198,169,True,22428640632128.406,493602528465.15967
9,0.95351306895279,0.9711515298788018,173,True,22404273819773.05,511080388553.6571
10,1.063933352027124,0.9596159179908045,171,True,22419421282848.516,503586033300.2468
11,1.1098312488840636,1.0153625714684724,171,True,22426339095711.406,504399674225.88257
12,1.1457278964971265,0.8824718350182735,169,True,22429631669407.074,493099663948.3708
13,1.1114327419125685,1.0842408023416548,172,True,22427344931375.03,509159839572.34766
14,1.03699428606704,0.9842931334109204,172,True,22416125313424.164,507832582612.705
15,1.1258675545878916,1.0011512856963485,171,True,22428486263774.4,503128006303.26746
16,0.8547475178178311,0.9620789984101417,175,True,22390755530462.03,518823825635.2652
17,0.9711016716251722,0.9921185041786893,173,True,22406924861217.676,511395810668.44806
18,0.9263859463204568,0.8614332231575114,172,True,22399454047207.848,505860407249.10236
19,1.1398521955519483,0.9494486984054253,170,True,22429713804259.773,498290590954.2105
20,1.1471278129102676,0.9673323156386404,170,True,22430973002286.586,499311800683.81854
21,0.9013668434041728,0.9490704658622625,174,True,22397113387751.008,514896954918.0692
22,0.8831079631318132,0.9135532323795315,174,True,22394210249586.418,513559459158.81067
23,1.0765096748304968,1.0452338993956536,172,True,22422081207592.977,508537152235.4027
24,1.0970601597263632,1.0841189458903873,173,True,22425550154865.297,511367479894.6977
25,1.033937914018191,1.1065696138881402,174,True,22417095352833.555,517288058361.52795
26,0.9719902691747179,0.9980830943816801,174,True,22407339925799.492,513378829959.6997
27,0.9514956575391273,0.9454956067369011,173,True,22403969745517.207,511044209660.6344
28,1.1387078939182849,1.1295057024749076,173,True,22431809687224.367,512001077211.2116
29,1.0939184306922696,1.1388007139573006,174,True,22425793629168.57,516084628939.85284
30,1.108606192612635,0.944687801634926,170,True,22425355386422.402,499667271678.2983
31,1.0848779239621618,1.0135210572920568,172,True,22423034423637.734,506821209422.3995
32,0.9374143655976902,0.9670284290283491,174,True,22402261264050.273,513641888150.4254
33,0.9781939680121938,0.9511127015141814,173,True,22407673332377.09,509485511073.8683
34,1.080970631069376,1.0822187594221515,173,True,22423412300428.965,512904897596.5146
35,1.0622268110815387,0.8807073447801357,170,True,22418365082582.797,498849875475.1506
36,0.978777335542002,1.049339802368727,174,True,22408781195393.805,516293160692.4761
37,1.0443686571055624,1.02909702606472,173,True,22417684975321.414,510910408691.3884
38,1.134780677572372,1.1054491017969246,172,True,22430864011870.043,509576139316.153
39,0.9042893821370496,0.9260327956259308,174,True,22397221174265.246,512728856334.80194
40,1.1102657564520948,1.0640353162395144,172,True,22427169039346.207,509139031919.14435
41,0.9946573463778412,0.8857960623144265,171,True,22408979879738.85,502357964102.72974
42,1.0262400158029676,0.967941404142455,172,True,22414504393130.586,507640831186.75543
43,0.8646710263210636,0.9191567195884,174,True,22391582358000.47,514235094874.38434
44,0.9985933305305512,1.1374391444534055,175,True,22412437099466.24,521433110197.2748
45,0.8534633532515414,1.0888613948800228,177,True,22391813951040.78,528398091871.8087
46,1.0187558363906877,1.097582677636845,174,True,22414807012371.15,517014228498.60364
47,0.9554836040856691,1.126263809519241,176,True,22406579279346.99,525450018989.36414
48,1.058330036481062,0.8992740826334196,170,True,22417777760424.695,498781198216.8991
49,0.977601335509825,0.9676037189455055,173,True,22407856593423.348,511207687994.32135
