Duration,Total_NPV,Total_Carbon,Total_Stockout_Cost,Finished,Final_SE_S,Alpha,Beta
65,41459871555830.28,427181480641.3538,638096697259.9489,False,0.9999994089027944,0.0,0.8
65,41478638335266.87,427623650999.70685,621642980126.5067,False,0.9999993055129248,0.0,0.85
65,41497362079768.62,428065294055.86365,605205930711.9893,False,0.9999991844863876,0.0,0.9
65,41516237181206.69,428506398014.6757,590514642915.3143,False,0.9999990428939277,0.0,0.95
65,41535513742650.19,428946950653.9587,579757411749.3772,False,0.9999988773336113,0.0,1.0
65,42435388114386.734,437532767102.74554,477778030289.9205,False,0.999998764662638,0.05,0.8
65,42454905920430.1,437971794402.8348,470781679462.37164,False,0.999998552201602,0.05,0.85
65,42474458290946.68,438410225557.1853,464156288481.7639,False,0.9999983041343408,0.05,0.9
65,42494134878759.59,438848046392.57886,457933090561.21094,False,0.9999980146574486,0.05,0.95
65,42513962831894.03,439285242190.6333,452112964147.11945,False,0.9999976770499747,0.05,1.0
65,43438801396530.336,447880341715.3709,412728993067.6351,False,0.9999974387548288,0.1,0.8
65,43458568869160.51,448315804712.10315,407801176746.49023,False,0.9999970057946407,0.1,0.85
65,43478344172321.86,448750588707.54767,403074947979.83453,False,0.999996501589081,0.1,0.9
65,43498213617813.35,449184676488.66846,398599913495.8598,False,0.9999959147520867,0.1,0.95
65,43518214485405.484,449618050138.0909,394425253600.2943,False,0.9999952321359163,0.1,1.0
65,44446419646003.516,458218534401.3542,361651073764.7277,False,0.9999947306484662,0.15,0.8
65,44466220949212.016,458649923357.69385,357931291326.41144,False,0.9999938555823576,0.15,0.85
65,44486079742707.15,459080532503.7028,354390017809.90686,False,0.999992839229768,0.15,0.9
65,44506064544512.55,459510340693.65125,351168742255.1698,False,0.9999916594738922,0.15,0.95
65,44526127247576.3,459939325861.02277,348108765381.54346,False,0.9999902908544558,0.15,1.0
65,45473659668005.34,468700328276.31433,321335049021.18195,False,0.9999892401148974,0.2,0.8
65,45493401077359.24,469127019333.92896,318527185224.0611,False,0.9999874858051153,0.2,0.85
65,45513403895275.766,469552806482.05005,316192917753.6923,False,0.9999854538292782,0.2,0.9
65,45533468626048.73,469977663426.44604,314012571222.8322,False,0.9999831016703089,0.2,0.95
65,45553714120640.836,470401562655.73596,312199508029.0595,False,0.999980380544186,0.2,1.0
65,46508032503928.16,479177168280.8943,293756543782.60974,False,0.999978187229895,0.25,0.8
65,46528166257023.58,479598388447.9885,292373068568.9187,False,0.9999746983824673,0.25,0.85
65,46548259254637.25,480018550018.60876,291039745287.3894,False,0.9999706688402321,0.25,0.9
65,46568642885793.13,480437619883.16003,290140223990.20886,False,0.9999660177590427,0.25,0.95
65,46589129067920.25,480855563307.76166,289452797744.51306,False,0.9999606527084521,0.25,1.0
65,47566191942389.516,489740439967.3002,285059165271.87714,False,0.9999560881408286,0.3,0.8
65,47586249681322.69,490155218715.8029,284194800000.482,False,0.9999492049115088,0.3,0.85
65,47606212046374.875,490568743535.08075,283332371317.1439,False,0.9999412787203527,0.3,0.9
65,47626298225844.45,490980972207.7756,282698128159.4719,False,0.9999321576482358,0.3,0.95
65,47646673004122.8,491391860334.0565,282482716819.45276,False,0.999921668687334,0.3,1.0
65,48635408019597.38,500310461697.78595,285583927236.69006,False,0.9999121895798206,0.35,0.8
65,48654779048944.73,500717563334.868,284572443237.1212,False,0.9998987172249351,0.35,0.85
65,48674212118273.56,501123161140.0358,283731771701.1805,False,0.9998832529070634,0.35,0.9
65,48693673880159.984,501527200643.62384,283030584618.60614,False,0.9998655148416846,0.35,0.95
65,48713302756151.805,501929624435.9774,282621286405.6323,False,0.9998451835600616,0.35,1.0
65,49694399685328.81,510846694427.1653,275469550549.9467,False,0.9998255205478197,0.4,0.8
65,49713348495604.77,511244522811.33417,274840747936.9991,False,0.9997993617600938,0.4,0.85
65,49732557082070.56,511640523631.4647,274515442688.41196,False,0.9997694385419666,0.4,0.9
65,49751804032967.91,512034625901.71735,274282488779.81003,False,0.9997352359445085,0.4,0.95
65,49771060005656.34,512426754691.92474,274171593408.99167,False,0.9996961731884667,0.4,1.0
65,50688983843055.44,520990569294.21924,246038071026.9969,False,0.9996553803893012,0.45,0.8
65,50706279562777.98,521370856306.4802,245552153457.07886,False,0.9996050000647476,0.45,0.85
65,50723664298131.69,521748900310.33185,245067739428.46616,False,0.9995475877293106,0.45,0.9
65,50741151429032.625,522124608154.7905,244584823386.17526,False,0.9994822187953515,0.45,0.95
65,50758587480308.98,522497881473.18823,244103399788.90833,False,0.9994078570061184,0.45,1.0
65,51378753981083.78,528518672602.35657,220578145038.80804,False,0.9993230912921437,0.5,0.8
65,51388414338548.72,528824823361.31744,219831209401.1873,False,0.9992268709175016,0.5,0.85
65,51398535169905.76,529128416583.2777,219809673092.05,False,0.9991176863491995,0.5,0.9
65,51408832501578.26,529429395506.9134,219809673092.05,False,0.9989939135210811,0.5,0.95
65,51419001340397.08,529727625317.8021,219176858835.87564,False,0.9988537464577965,0.5,1.0
65,50871338593304.39,528588180067.1674,217203407923.44824,False,0.998676995882211,0.55,0.8
65,50863799684786.39,528817000008.7324,217203407923.44824,False,0.9984948385305703,0.55,0.85
65,50856527284411.49,529043275419.49493,217203407923.44824,False,0.9982891497907447,0.55,0.9
65,50849496410801.22,529266969971.29114,217203407923.44824,False,0.9980571579625088,0.55,0.95
65,50842629767201.01,529487467706.6336,217203407923.44824,False,0.9977958123280084,0.55,1.0
65,50034368711034.7,528908896392.10394,217203407923.44824,False,0.9974251394624863,0.6,0.8
65,50030113885117.44,529132214994.86865,217203407923.44824,False,0.9970835725766192,0.6,0.85
65,50025334966250.8,529349642665.58154,217203407923.44824,False,0.9967001151331089,0.6,0.9
65,50020715341916.34,529563163522.4699,217203407923.44824,False,0.9962702238107488,0.6,0.95
65,50016225616573.02,529772534623.5899,217203407923.44824,False,0.9957889677651699,0.6,1.0
65,49524405461822.38,530343250548.7606,217203407923.44824,False,0.9950049661156426,0.65,0.8
65,49524703107842.24,530561333708.42645,217203407923.44824,False,0.9943713907925271,0.65,0.85
65,49525040950350.47,530774329023.30493,217203407923.44824,False,0.9936651375916128,0.65,0.9
65,49525195141234.195,530977734727.15076,217203407923.44824,False,0.9928791996418854,0.65,0.95
65,49524231886839.086,531158750013.64215,217203407923.44824,False,0.9920061270286459,0.65,1.0
65,49116950910281.1,531457471827.2255,217203407923.44824,False,0.9903281272765351,0.7,0.8
65,49116868119123.984,531617463820.9601,217203407923.44824,False,0.9891681808072218,0.7,0.85
65,49116565927859.4,531771199153.95685,217203407923.44824,False,0.9878866824654292,0.7,0.9
65,49116130663176.25,531918416491.8068,217203407923.44824,False,0.9864738744159414,0.7,0.95
65,49115370922763.016,532059012520.60767,217203407923.44824,False,0.9849197181461125,0.7,1.0
65,48710683748693.375,532240727555.60175,217203407923.44824,False,0.9812713740804309,0.75,0.8
65,48710362573349.31,532364226419.76776,217203407923.44824,False,0.9791839615694433,0.75,0.85
65,48709887618414.734,532479920521.8409,217203407923.44824,False,0.9769044798215328,0.75,0.9
65,48707986469933.48,532566937799.18976,217203407923.44824,False,0.974421821923969,0.75,0.95
65,48705685192179.43,532642968060.7097,217203407923.44824,False,0.9717252717828695,0.75,1.0
65,48222577329866.88,531796660193.27625,217203407923.44824,False,0.9636342101864681,0.8,0.8
65,48220169216184.41,531838195803.06085,217203407923.44824,False,0.9599711092589899,0.8,0.85
65,48217613846757.695,531871098211.4773,217203407923.44824,False,0.9560327255640209,0.8,0.9
65,48214891924875.85,531895266966.3368,217203407923.44824,False,0.951812147230474,0.8,0.95
65,48212063114645.445,531910635496.2572,217203407923.44824,False,0.9473042196205679,0.8,1.0
65,47611281412036.65,529857119164.4903,217203407923.44824,False,0.9289401553756452,0.85,0.8
65,47607559648139.125,529821993189.59094,217203407923.44824,False,0.9227746541240308,0.85,0.85
65,47603732358815.98,529778675893.4565,217203407923.44824,False,0.9162845017516719,0.85,0.9
65,47599760108507.86,529727380313.4424,217203407923.44824,False,0.9094784335831637,0.85,0.95
65,47595727292231.695,529668361566.7668,217203407923.44824,False,0.9023680840470009,0.85,1.0
65,46925900994900.445,526425044965.77155,217203407923.44824,False,0.8597211676383755,0.9,0.8
65,46921063017694.734,526324526174.2506,217203407923.44824,False,0.8501321787982926,0.9,0.85
65,46915737894373.055,526203900520.9188,217203407923.44824,False,0.8403198605514294,0.9,0.9
65,46910279569648.445,526075890418.77966,217203407923.44824,False,0.8303168096729696,0.9,0.95
65,46904774720034.195,525944081460.687,217203407923.44824,False,0.8201563719500986,0.9,1.0
65,46092008414713.21,520614568005.80023,217743028123.86136,False,0.7199767007858382,0.95,0.8
