Duration,Total_NPV,Total_Carbon,Total_Undiscounted_Cost,Finished,Alpha,Beta
250,17318602219981.604,729597763246.524,515134858652447.2,False,0.0,0.8
250,17324738392165.469,729964382690.5226,515208200872218.94,False,0.0,0.85
250,17330874564349.336,730331002134.5212,515281543091990.94,False,0.0,0.9
250,17337010736533.191,730697621578.52,515354885311762.9,False,0.0,0.95
250,17343146908717.04,731064241022.5186,515428227531534.8,False,0.0,1.0
250,17781309098875.72,748573909408.7502,528961285377948.3,False,0.05,0.8
250,17787445271059.562,748940528852.7488,529034627597720.4,False,0.05,0.85
250,17793581443243.426,749307148296.7472,529107969817492.1,False,0.05,0.9
250,17799717615427.293,749673767740.7458,529181312037264.1,False,0.05,0.95
250,17805853787611.113,750040387184.7449,529254654257036.06,False,0.05,1.0
250,18244015977769.805,767550055570.9762,542787712103449.7,False,0.1,0.8
250,18250152149953.645,767916675014.9747,542861054323221.6,False,0.1,0.85
250,18256288322137.547,768283294458.9733,542934396542993.6,False,0.1,0.9
250,18262424494321.363,768649913902.972,543007738762765.5,False,0.1,0.95
250,18268560666505.25,769016533346.9707,543081080982537.5,False,0.1,1.0
250,18706722856663.938,786526201733.2023,556614138828951.2,False,0.15,0.8
250,18712859028847.793,786892821177.2008,556687481048723.06,False,0.15,0.85
250,18718995201031.625,787259440621.1995,556760823268494.7,False,0.15,0.9
250,18725131373215.44,787626060065.1979,556834165488266.8,False,0.15,0.95
250,18731267545399.37,787992679509.1967,556907507708039.06,False,0.15,1.0
250,19169429735558.023,805502347895.4281,570440565554452.2,False,0.2,0.8
250,19175565907741.85,805868967339.4266,570513907774224.6,False,0.2,0.85
250,19181702079925.727,806235586783.4252,570587249993996.6,False,0.2,0.9
250,19187838252109.582,806602206227.424,570660592213768.1,False,0.2,0.95
250,19193974424293.477,806968825671.4229,570733934433540.1,False,0.2,1.0
250,19632136614452.098,824478494057.654,584266992279953.9,False,0.25,0.8
250,19638272786635.96,824845113501.653,584340334499725.6,False,0.25,0.85
250,19644408958819.836,825211732945.6512,584413676719497.6,False,0.25,0.9
250,19650545131003.664,825578352389.6501,584487018939269.6,False,0.25,0.95
250,19656681303187.535,825944971833.6482,584560361159041.5,False,0.25,1.0
250,20094843493346.223,843454640219.88,598093419005455.0,False,0.3,0.8
250,20100979665530.08,843821259663.8789,598166761225226.9,False,0.3,0.85
250,20107115837713.91,844187879107.8773,598240103444999.0,False,0.3,0.9
249,20113231428817.51,838859958253.1523,594232198149275.2,True,0.3,0.95
247,20119323518492.707,827889029946.1666,586182909424422.5,True,0.3,1.0
233,20557002513011.48,763601577034.1702,541070628854825.44,True,0.35,0.8
231,20563050544624.734,753799992307.9059,533836413768842.94,True,0.35,0.85
229,20569095191207.574,744417947073.9384,526955627999225.5,True,0.35,0.9
