name,lat_deg,lon_deg,weight
Hammaguir,31.09951,-2.83581,1.0
Reggane,26.71895,0.27691,1.0
Kapani Tonneo,-7.92587,28.52766,1.0
Jabal Hamzah,30.12575,30.60513889,1.0
San Marco platform,-2.9408,40.2134,1.0
Sabha,26.99392,14.46425,1.0
Nouadhibou,20.92856,-17.03153,1.0
Overberg,-34.60265,20.30248,1.0
Shijiedu,30.93743,119.20575,1.0
Jiuquan,40.96056,100.29833,1.0
Xichang,28.24646,102.02814,1.0
Wenchang,19.61449167,110.95113333,1.0
Jingyu,42.0,126.5,1.0
Vikram Sarabhai Space Centre,8.5314,76.869,1.0
Sriharikota,13.7374,80.2351,1.0
Dr.Abdul kalam Island,20.75804,87.085533,1.0
Pameungpeuk,-7.646643,107.689018,1.0
Qom,34.65,50.9,1.0
Emamshahr,36.42,55.02,1.0
Semnan,35.234631,53.920941,1.0
Al-Anbar,32.7822,44.29962,1.0
Palmachim,31.88484,34.6802,1.0
Akita,39.57148,140.05785,1.0
Uchinoura,31.25186,131.07914,1.0
Taiki,42.3,143.2629,1.0
Tanegashima,30.39096,130.96813,1.0
Ryori,39.03,141.83,1.0
Niijima,34.33766,139.26575,1.0
Obachi,40.70342,141.36938,1.0
Baikonur,45.95515,63.35028,1.0
Sary Shagan,46.38,72.87,1.0
Musudan-ri,40.85572,129.66587,1.0
Sohae,39.66,124.705,1.0
Naro,34.42585,127.52793,1.0
Gan Island,-0.69328,73.15672,1.0
Sonmiani,25.19242,66.74881,1.0
Kheysa,80.45,58.05,1.0
Svobodny,51.83441,128.2757,1.0
Sovetskaya Gavan,48.97,140.3,1.0
Okhotsk,59.36666667,143.25,1.0
Dombarovskiy,51.20706,59.85003,1.0
Vostochny,51.883,128.333,1.0
Gangzi,22.1,120.9,1.0
Nantian,22.26212,120.89037,1.0
Ahtopol,42.085846,27.955125,1.0
Ile de Levant,43.04507,6.47887,1.0
Raketenflugplatz Tegel,52.35,13.21,1.0
Peenemünde Greifswalder Oie,54.143,13.794,1.0
Cuxhaven,53.84884,8.59154,1.0
Hespenbusch,52.939002,8.312515,1.0
Zingst,54.44008,12.78431,1.0
Koroni,36.7698,21.9316,1.0
Salto di Quirra,39.52731,9.63303,1.0
And?ya,69.2943,16.0207,1.0
Marka,58.2,7.3,1.0
SvalRak,78.2234,15.647,1.0
Tuchola Forest,53.6197,17.98492,1.0
Łeba,54.76904,17.59355,1.0
Łeba,54.754486,17.517919,1.0
Blizna,50.1819,21.6162,1.0
Kapustin Yar,48.57807,46.2542,1.0
Nyonoksa,64.64928,39.18721,1.0
Plesetsk Cosmodrome,62.92555556,40.57777778,1.0
El Arenosillo,37.09687,-6.73863,1.0
Nausta,66.357202,19.275813,1.0
Kronogård,66.4147,19.2767,1.0
Kiruna,67.89342,21.10429,1.0
South Uist,57.33,-7.33,1.0
Fort Churchill,58.7343,-93.8203,1.0
Resolute Bay,74.687,-94.8962,1.0
Hall Beach,68.77607,-81.24346,1.0
Southend,56.2,-103.14,1.0
